ORIGEM,MARCA,MODELO,SERVICO_COMPLETO,PRECO,TIPO_SERVICO,QUALIDADE
IPHONES,IPHONES,IPHONE 8 PLUS,CAMERA FRONTAL,85,CAMERA FRONTAL,VALOR
IPHONES,IPHONES,IPHONE 8 PLUS,CAMERA TRASEIRA,269,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 8 PLUS,DOCK DE CARGA - PRIME,149,DOCK DE CARGA,PRIME
IPHONES,IPHONES,IPHONE 8 PLUS,LENTE CAMERA TRASEIRA,55,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 8 PLUS,AURICULAR,89,AURICULAR,VALOR
IPHONES,IPHONES,SE 3 (2022/2023),TELA - VIDRO,99,TELA,VIDRO
IPHONES,IPHONES,SE 3 (2022/2023),TELA - PRIME,255,TELA,PRIME
IPHONES,IPHONES,SE 3,BATERIA,324,BATERIA,VALOR
IPHONES,IPHONES,SE 3,BATERIA - SEM MENSAG,392,BATERIA,SEM MENSAG
IPHONES,IPHONES,SE 2 - 2020,BATERIA,169,BATERIA,VALOR
IPHONES,IPHONES,SE 2 - 2020,BATERIA - SEM MENSAG,235,BATERIA,SEM MENSAG
IPHONES,IPHONES,IPHONE X,TELA - VIDRO,149,TELA,VIDRO
IPHONES,IPHONES,IPHONE X,TELA - PRIME,299,TELA,PRIME
IPHONES,IPHONES,IPHONE X,BATERIA,259,BATERIA,VALOR
IPHONES,IPHONES,IPHONE X,TAMPA TRASEIRA,225,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE X,REPARO EM PLACA - PLACA,409,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE X,REPARO EM PLACA - REDE/WIFI,681,REPARO EM PLACA,REDE/WIFI
IPHONES,IPHONES,IPHONE X,REPARO EM PLACA - CUSTO LUAN,180,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE X,FACE ID,259,FACE ID,VALOR
IPHONES,IPHONES,IPHONE X,FACE ID - CUSTO LUAN,200,FACE ID,CUSTO LUAN
IPHONES,IPHONES,IPHONE X,CARCAÇAS,399,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE X,CAMERA TRASEIRA,238,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE X,DOCK DE CARGA - ORG,399,DOCK DE CARGA,ORG
IPHONES,IPHONES,IPHONE X,DOCK DE CARGA - PRIME,222,DOCK DE CARGA,PRIME
IPHONES,IPHONES,IPHONE X,LENTE CAMERA TRASEIRA,149,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE X,AURICULAR,195,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE X,AURICULAR - COM FACE ID,305,AURICULAR,COM FACE ID
IPHONES,IPHONES,IPHONE XS,TELA - VIDRO,145,TELA,VIDRO
IPHONES,IPHONES,IPHONE XS,TELA - PRIME,299,TELA,PRIME
IPHONES,IPHONES,IPHONE XS,BATERIA,265,BATERIA,VALOR
IPHONES,IPHONES,IPHONE XS,BATERIA - SEM MENSAG,339,BATERIA,SEM MENSAG
IPHONES,IPHONES,IPHONE XS,TAMPA TRASEIRA,225,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE XS,REPARO EM PLACA - PLACA,409,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE XS,REPARO EM PLACA - REDE/WIFI,737,REPARO EM PLACA,REDE/WIFI
IPHONES,IPHONES,IPHONE XS,REPARO EM PLACA - CUSTO LUAN,180,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE XS,FACE ID,259,FACE ID,VALOR
IPHONES,IPHONES,IPHONE XS,FACE ID - CUSTO LUAN,200,FACE ID,CUSTO LUAN
IPHONES,IPHONES,IPHONE XS,CARCAÇAS,399,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE XS,CAMERA TRASEIRA,470,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE XS,DOCK DE CARGA - ORG,399,DOCK DE CARGA,ORG
IPHONES,IPHONES,IPHONE XS,LENTE CAMERA TRASEIRA,149,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE XS,AURICULAR,195,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE XS,AURICULAR - COM FACE ID,305,AURICULAR,COM FACE ID
IPHONES,IPHONES,IPHONE XSMAX,TELA - VIDRO,165,TELA,VIDRO
IPHONES,IPHONES,IPHONE XSMAX,TELA - PRIME,409,TELA,PRIME
IPHONES,IPHONES,IPHONE XSMAX,BATERIA,259,BATERIA,VALOR
IPHONES,IPHONES,IPHONE XSMAX,BATERIA - SEM MENSAG,327,BATERIA,SEM MENSAG
IPHONES,IPHONES,IPHONE XSMAX,TAMPA TRASEIRA,225,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE XSMAX,REPARO EM PLACA - PLACA,409,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE XSMAX,REPARO EM PLACA - REDE/WIFI,737,REPARO EM PLACA,REDE/WIFI
IPHONES,IPHONES,IPHONE XSMAX,REPARO EM PLACA - CUSTO LUAN,180,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE XSMAX,FACE ID,259,FACE ID,VALOR
IPHONES,IPHONES,IPHONE XSMAX,FACE ID - CUSTO LUAN,200,FACE ID,CUSTO LUAN
IPHONES,IPHONES,IPHONE XSMAX,CARCAÇAS,399,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE XSMAX,CAMERA FRONTAL,200,CAMERA FRONTAL,VALOR
IPHONES,IPHONES,IPHONE XSMAX,CAMERA FRONTAL - COM FACE ID,499,CAMERA FRONTAL,COM FACE ID
IPHONES,IPHONES,IPHONE XSMAX,CAMERA TRASEIRA,470,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE XSMAX,DOCK DE CARGA - ORG,399,DOCK DE CARGA,ORG
IPHONES,IPHONES,IPHONE XSMAX,LENTE CAMERA TRASEIRA,149,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE XSMAX,AURICULAR,195,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE XSMAX,AURICULAR - COM FACE ID,305,AURICULAR,COM FACE ID
IPHONES,IPHONES,IPHONE XR,TELA - VIDRO,125,TELA,VIDRO
IPHONES,IPHONES,IPHONE XR,TELA - PRIME,299,TELA,PRIME
IPHONES,IPHONES,IPHONE XR,TELA - PREMIUM INCELL,230,TELA,PREMIUM INCELL
IPHONES,IPHONES,IPHONE XR,BATERIA,285,BATERIA,VALOR
IPHONES,IPHONES,IPHONE XR,BATERIA - SEM MENSAG,350,BATERIA,SEM MENSAG
IPHONES,IPHONES,IPHONE XR,TAMPA TRASEIRA,225,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE XR,REPARO EM PLACA - PLACA,409,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE XR,REPARO EM PLACA - REDE/WIFI,737,REPARO EM PLACA,REDE/WIFI
IPHONES,IPHONES,IPHONE XR,REPARO EM PLACA - CUSTO LUAN,180,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE XR,FACE ID,259,FACE ID,VALOR
IPHONES,IPHONES,IPHONE XR,FACE ID - CUSTO LUAN,200,FACE ID,CUSTO LUAN
IPHONES,IPHONES,IPHONE XR,CARCAÇAS,479,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE XR,CAMERA FRONTAL,159,CAMERA FRONTAL,VALOR
